id	deposited_file	classification	n_rows	n_columns	n_raw_expected	row_match	has_source_name	has_assay_name	has_data_file	has_template_declaration	missing_core_columns	action
PXD068063	KAK386_SDRF_PRIDE.xlsx	not-sdrf	467	1	19	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD069597	sdrf_.txt	not-sdrf	99	9	99	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD069676	SDRFics.txt	not-sdrf	1	1	6	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD070162	sdrfile.docx	not-sdrf	1352	1	12	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD070583	GS_secretome.sdrf.tsv	not-sdrf	15	12	15	yes	yes	yes	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD071585	sdrf.tsv	not-sdrf	16	1	16	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD073612	sdrf-default.sdrf.csv	not-sdrf	18	1	18	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD073641	sdrf-default_VenomProteome-Napat.xlsx	not-sdrf	249	1	18	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD073954	HEK_RiboTag_SDRF.tsv	not-sdrf	17	1	17	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD074721	SDRF.xlsx	not-sdrf	174	1	6	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD075459	SDRF.tsv	not-sdrf	25	13	25	yes	yes	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD076825	SDRF.xlsx	not-sdrf	233	1	90	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD077362	SDRF_HDF_repregrammed_DCs_3_DIA.txt	not-sdrf	20	3	20	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD077951	sdrf.csv	not-sdrf	12	1	12	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
