id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD065347	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD065347; files/all n=4	Q3	6	Pleurotus pulmonarius	4	0		DIA	LFQ	Thermo Fisher Scientific instrument model	yes	no	all_DEPs_annotation.zip	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	3 archive(s); inspect the FTP listing before annotating
PXD066004	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066004; files/all n=29	Q3	6	Mus musculus (mouse);Fasciola hepatica (liver fluke)	29	0		DIA	LFQ	TripleTOF 6600;timsTOF fleX	yes	no	SeCT_allSamples.tsv;SeCT_allSamples.pr_matrix.tsv;SeCT_allSamples.unique_genes_matrix.tsv	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD066316	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066316; files/all n=4	Q3	6	Homo sapiens (human)	4	0		DIA	LFQ	Q Exactive HF	yes	no	Sample_annotation.xlsx	simple	0	ms-proteomics;human;dia-acquisition;cell-lines	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD066834	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066834; files/all n=7	Q3	6	Homo sapiens (human)	7	0		DIA	LFQ	TripleTOF 6600	yes	no	Protein_DIANN_report.pg_matrix_results.tsv;Spectral_Lib_DIANN_MBR.tsv;Sample_name_to_wiff_file_name_list.xlsx	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD066886	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066886; files/all n=4	Q3	6	Homo sapiens (human)	4	0		DIA	LFQ	timsTOF Pro 2	yes	no	search_DIA-NN.tsv.zip;samples.xlsx	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD067006	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD067006; files/all n=3	Q3	6	Mus musculus (mouse)	3	0		DIA	LFQ	timsTOF HT	yes	no	Metadata.xlsx	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
PXD067113	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD067113; files/all n=4	Q3	6	Homo sapiens (human)	4	0		DIA	LFQ	timsTOF Pro 2	yes	no	samples.xlsx;search_DIA-NN.tsv.zip	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD067114	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD067114; files/all n=4	Q3	6	Homo sapiens (human)	4	0		DIA	LFQ	timsTOF Pro 2	yes	no	search_DIA-NN.tsv.zip;samples.xlsx	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD067115	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD067115; files/all n=4	Q3	6	Homo sapiens (human)	4	0		DIA	LFQ	timsTOF Pro 2	yes	no	search_DIA-NN.tsv.zip;samples.xlsx	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD067631	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD067631; files/all n=8	Q3	6	Severe acute respiratory syndrome coronavirus 2;Homo sapiens (human)	8	0		DIA	LFQ	timsTOF HT	yes	no	metadata.txt	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
