accession	tier	evidence_fields	publicationDate	doi	raw_file_count	selected_raw_count	selection_mode	local_status_before	draft_status	title	note
PXD053279	protocol-only	sampleProcessingProtocol	2024-07-10		6			missing	catalog_only	The adhesion RadD enhances Fusobacterium nucleatum tumor colonization and colorectal carinogenesis	
PXD057783	protocol-only	sampleProcessingProtocol	2025-05-08		6			missing	catalog_only	Hematopoietic stem cell conditioned media induces apoptosis in colorectal cancer stem cells via dysregulation of HSP90 and 26S proteasome system	
PXD035777	protocol-only	sampleProcessingProtocol	2023-03-11		4			missing	catalog_only	Adaptor molecule of DNA methylation in IECs	
PXD043232	protocol-only	sampleProcessingProtocol	2023-10-24		4			missing	catalog_only	Mass spectrometry and phosphorylation analysis of ORC1 protein, wild type or RNA-binding mutant (R441A, R444A and R465A), in GAA-RNA (RNA interactors of ORC1 identified by RIP-seq and iCLIP) knockdown or control conditions.	
PXD053641	protocol-only	sampleProcessingProtocol	2025-07-10		4			missing	catalog_only	APP and β-amyloid modulate protein aggregation and dissociation from recycling endosomal and exosomal membranes	
PXD045644	protocol-only	sampleProcessingProtocol	2024-04-13		3			missing	catalog_only	Regulation of Histone Acetylation by SUMOylation Through TFAP2C Binding to the Chromatin and Recruitment of HDAC Complex	
PXD034899	protocol-only	sampleProcessingProtocol	2022-07-19		2			missing	catalog_only	Acetylation of p62 regulates base excision repair through interaction with APE1	
PXD000588	protocol-only	sampleProcessingProtocol	2019-11-28		1			missing	catalog_only	A Quantitative Chemical Proteomics Approach to Profile the Specific Cellular Targets of Andrographolide, a Promising Anticancer Agent that Suppresses Tumor Metastasis	
PXD034434	protocol-only	sampleProcessingProtocol|keywords	2023-07-26		1			missing	catalog_only	FBL promotes cancer cell resistance to DNA damage by transcriptionally regulating BRCA1 via YBX1	
PXD033221	protocol-only	sampleProcessingProtocol	2023-11-14		0			missing	catalog_only	Combinatorial screening of biological degrader modules to destroy intractable proteins – nonkinetic data	
PXD033222	protocol-only	sampleProcessingProtocol	2023-11-14		0			missing	catalog_only	Combinatorial screening of biological degrader modules to destroy intractable proteins – Kinetic Data	
PXD038821	protocol-only	sampleProcessingProtocol	2023-07-20	10.6019/PXD038821	0			missing	catalog_only	Endogenous TOM20 proximity labelling: a Swiss-knife for the study of mitochondrial proteins in human cells	
PXD051069	protocol-only	sampleProcessingProtocol	2025-04-22		0			missing	catalog_only	Multilevel Omics-Readouts of Perturbation Studies in vitro are Determined by Memory Effects from Subculture	
PXD052287	protocol-only	sampleProcessingProtocol	2024-10-11		0			missing	catalog_only	The RNA binding protein IGF2BP2/IMP2 alters the cargo of cancer cell-derived extracellular vesicles supporting tumor-associated macrophages	
PXD056492	protocol-only	sampleProcessingProtocol	2025-01-24		0			missing	catalog_only	Impact of local air pressure on ion mobilities and data consistency in diaPASEF-based high throughput proteomics	
