accession	tier	evidence_fields	publicationDate	doi	raw_file_count	selected_raw_count	selection_mode	local_status_before	draft_status	title	note
PXD009185	description-hit	projectDescription	2018-10-02	10.6019/PXD009185	27			missing	catalog_only	Systematic analysis of synergistic proteome modulations in a drug combination of cisplatin and MLN4924	
PXD037651	description-hit	projectDescription|sampleProcessingProtocol	2023-03-11		27			missing	catalog_only	Characterisation of colorectal cancer cell lines through proteomic profiling of their extracellular vesicles	
PXD048361	description-hit	projectDescription	2024-10-17		24			missing	catalog_only	Immunomodulatory, antioxidant, and potential anticancer activity of the polysaccharides of the fungus Fomitiporia chilensis	
PXD056432	description-hit	projectDescription	2025-01-14		24			missing	catalog_only	Proteogenomic analysis reveals adaptive strategies to alleviate the consequences of aneuploidy in cancer. Dataset 3	
PXD058918	description-hit	projectDescription	2025-02-14		24			missing	catalog_only	Isobaric Tagging and Data Independent Acquisition as Complementary Strategies for Proteome Profiling on an Orbitrap Astral Mass Spectrometry	
PXD062148	description-hit	projectDescription|sampleProcessingProtocol|keywords	2025-09-03		24			missing	catalog_only	Network-driven identification of indisulam neo-substrates for targeted protein degradation	
PXD071028	description-hit	projectDescription|sampleProcessingProtocol	2026-03-23		24			missing	catalog_only	LC-MS/MS of co-immunoprecipitation of 3xFLAG-UFM1 from ribosomal pellet in control and upon anisomycin treatment	
PXD041773	description-hit	projectDescription	2023-10-24		20			missing	catalog_only	LINC00955 Suppresses Colorectal Cancer Growth by Acting as a Molecular Scaffold of TRIM25 and Sp1 to Inhibit DNMT3B-mediated Methylation of the PHIP Promoter——iTRAQ	
PXD012146	description-hit	projectDescription	2020-04-17		18			missing	catalog_only	Functions of the 12 different isoforms of the hepatocyte nuclear factor 4 alpha (HNF4α)	
PXD019694	description-hit	projectDescription|sampleProcessingProtocol	2021-09-09		16			missing	catalog_only	SOX4 supports cancer stemness by enhancing HDAC1 transcription revealed by comparative proteomics	
